Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike #,Member type
244253,7/1/2015 2:57,7/1/2015 3:01,31615,6th & H St NE,31611,13th & H St NE,W00321,Registered
758130,7/1/2015 3:12,7/1/2015 3:25,31082,Eisenhower Ave & Mill Race Ln,31082,Eisenhower Ave & Mill Race Ln,W21672,Casual
411781,7/1/2015 3:53,7/1/2015 4:00,31804,Anacostia Library,31805,Pennsylvania & Minnesota Ave SE,W21998,Registered
481260,7/1/2015 3:54,7/1/2015 4:02,31104,Adams Mill & Columbia Rd NW,31305,Connecticut Ave & Newark St NW / Cleveland Park,W21765,Registered
565888,7/1/2015 4:22,7/1/2015 4:32,31300,Van Ness Metro / UDC,31302,Wisconsin Ave & Newark St NW,W00913,Registered
205600,7/1/2015 4:45,7/1/2015 4:48,31604,3rd & H St NW,31624,North Capitol St & F St NW,W20754,Registered
361370,7/1/2015 4:50,7/1/2015 4:56,31266,11th & M St NW,31120,10th & Florida Ave NW,W00565,Registered
739748,7/1/2015 4:50,7/1/2015 5:03,31225,C & O Canal & Wisconsin Ave NW,31051,Arlington Blvd & N Queen St,W20435,Registered
457807,7/1/2015 4:54,7/1/2015 5:01,31209,1st & N St  SE,31608,8th & Eye St SE / Barracks Row,W20095,Casual
227086,7/1/2015 4:57,7/1/2015 5:01,31619,Lincoln Park / 13th & East Capitol St NE ,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00028,Registered
168041,7/1/2015 4:57,7/1/2015 5:00,31234,20th & O St NW / Dupont South,31224,19th & L St NW,W20771,Registered
912258,7/1/2015 4:58,7/1/2015 5:13,31209,1st & N St  SE,31625,3rd & G St SE,W00138,Registered
159979,7/1/2015 4:59,7/1/2015 5:02,32037,King Farm Blvd & Pleasant Dr,32045,Shady Grove Metro West,W21102,Registered
1111894,7/1/2015 5:03,7/1/2015 5:21,31601,19th & East Capitol St SE,31627,M St & Delaware Ave NE,W21823,Registered
337453,7/1/2015 5:03,7/1/2015 5:08,31107,Lamont & Mt Pleasant NW,31103,16th & Harvard St NW,W20924,Registered
1360431,7/1/2015 5:04,7/1/2015 5:27,31612,D St & Maryland Ave NE,31258,Lincoln Memorial,W20574,Registered
172469,7/1/2015 5:06,7/1/2015 5:09,32026,Carroll & Ethan Allen Ave,32025,Carroll & Westmoreland Ave,W00876,Registered
1155350,7/1/2015 5:08,7/1/2015 5:27,31269,3rd St & Pennsylvania Ave SE,31258,Lincoln Memorial,W20633,Casual
712395,7/1/2015 5:10,7/1/2015 5:22,31228,8th & H St NW,31239,17th & Rhode Island Ave NW,W00897,Registered
732983,7/1/2015 5:13,7/1/2015 5:26,31625,3rd & G St SE,31228,8th & H St NW,W21015,Registered
774190,7/1/2015 5:15,7/1/2015 5:28,31251,12th & L St NW,31260,23rd & E St NW ,W00961,Registered
516024,7/1/2015 5:16,7/1/2015 5:24,31104,Adams Mill & Columbia Rd NW,31275,New Hampshire Ave & 24th St NW,W21618,Registered
327093,7/1/2015 5:17,7/1/2015 5:22,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31314,34th & Water St NW,W22108,Registered
165785,7/1/2015 5:17,7/1/2015 5:20,31024,Virginia Square Metro / N Monroe St & 9th St N,31025,Central Library / N Quincy St & 10th St N,W00058,Registered
855406,7/1/2015 5:17,7/1/2015 5:32,31266,11th & M St NW,31258,Lincoln Memorial,W21698,Registered
320614,7/1/2015 5:18,7/1/2015 5:23,31119,14th & Belmont St NW,31201,15th & P St NW,W20992,Registered
612237,7/1/2015 5:18,7/1/2015 5:28,31102,11th & Kenyon St NW,31251,12th & L St NW,W00204,Registered
1394662,7/1/2015 5:18,7/1/2015 5:41,31508,Gallaudet / 8th St & Florida Ave NE,31200,Massachusetts Ave & Dupont Circle NW,W21001,Registered
168269,7/1/2015 5:19,7/1/2015 5:22,31117,15th & Euclid St  NW,31105,14th & Harvard St NW,W01277,Registered
589366,7/1/2015 5:21,7/1/2015 5:30,31107,Lamont & Mt Pleasant NW,31201,15th & P St NW,W00782,Registered
