Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Account type
1452666,4/1/2016 1:15,4/1/2016 1:39,31221,18th & M St NW,31629,8th & East Capitol St NE,W20279,Registered
330931,4/1/2016 1:15,4/1/2016 1:20,31624,North Capitol St & F St NW,31636,New Jersey Ave & N St NW/Dunbar HS,W01484,Registered
565485,4/1/2016 1:16,4/1/2016 1:25,31278,18th & R St NW,31228,8th & H St NW,W20957,Registered
568830,4/1/2016 1:17,4/1/2016 1:26,31257,22nd & I St NW / Foggy Bottom,31202,14th & R St NW,W01035,Registered
192247,4/1/2016 1:19,4/1/2016 1:22,31242,18th St & Pennsylvania Ave NW,31212,21st & M St NW,W00221,Registered
122177,4/1/2016 1:20,4/1/2016 1:22,31202,14th & R St NW,31202,14th & R St NW,W21017,Registered
1208846,4/1/2016 1:20,4/1/2016 1:40,31105,14th & Harvard St NW,31245,7th & R St NW / Shaw Library,W22132,Registered
1882592,4/1/2016 1:21,4/1/2016 1:52,31271,Constitution Ave & 2nd St NW/DOL,31258,Lincoln Memorial,W22172,Casual
294087,4/1/2016 1:22,4/1/2016 1:27,31401,14th St & Spring Rd NW,31406,14th & Upshur St NW,W20512,Registered
548236,4/1/2016 1:22,4/1/2016 1:31,31202,14th & R St NW,31281,8th & O St NW,W21017,Registered
2482599,4/1/2016 1:23,4/1/2016 2:05,31278,18th & R St NW,31258,Lincoln Memorial,W21441,Casual
2450340,4/1/2016 1:24,4/1/2016 2:05,31278,18th & R St NW,31258,Lincoln Memorial,W21261,Casual
874469,4/1/2016 1:26,4/1/2016 1:40,31109,7th & T St NW,31616,3rd & H St NE,W01009,Registered
748940,4/1/2016 1:27,4/1/2016 1:40,31114,18th St & Wyoming Ave NW,31246,M St & Pennsylvania Ave NW,W22188,Registered
629546,4/1/2016 1:31,4/1/2016 1:41,31249,Jefferson Memorial,31261,21st St & Constitution Ave NW,W22202,Registered
3825083,4/1/2016 1:35,4/1/2016 2:38,31204,20th & E St NW,31204,20th & E St NW,W00219,Casual
3787156,4/1/2016 1:35,4/1/2016 2:39,31204,20th & E St NW,31204,20th & E St NW,W20059,Casual
513986,4/1/2016 1:35,4/1/2016 1:43,31236,37th & O St NW / Georgetown University,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,W00566,Registered
309799,4/1/2016 1:36,4/1/2016 1:41,31608,8th & Eye St SE / Barracks Row,31208,M St & New Jersey Ave SE,W00102,Registered
286106,4/1/2016 1:36,4/1/2016 1:41,31608,8th & Eye St SE / Barracks Row,31208,M St & New Jersey Ave SE,W20986,Registered
151300,4/1/2016 1:40,4/1/2016 1:42,31200,Massachusetts Ave & Dupont Circle NW,31212,21st & M St NW,W00039,Registered
284005,4/1/2016 1:40,4/1/2016 1:45,31606,Potomac & Pennsylvania Ave SE,31619,Lincoln Park / 13th & East Capitol St NE ,W20201,Registered
153233,4/1/2016 1:42,4/1/2016 1:44,31703,Minnesota Ave Metro/DOES,31704,Nannie Helen Burroughs & Minnesota Ave NE,W00466,Registered
615625,4/1/2016 1:43,4/1/2016 1:53,31224,19th & L St NW,31253,19th & K St NW,W21559,Registered
542510,4/1/2016 1:45,4/1/2016 1:54,31253,19th & K St NW,31253,19th & K St NW,W01213,Registered
2508552,4/1/2016 1:46,4/1/2016 2:28,31224,19th & L St NW,31249,Jefferson Memorial,W21252,Casual
