Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member Type
1789221,3/31/2016 23:29,3/31/2016 23:59,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W20351,Registered
1791714,3/31/2016 23:29,3/31/2016 23:59,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W21938,Casual
1612747,3/31/2016 23:28,3/31/2016 23:55,31634,3rd & Tingey St SE,31275,New Hampshire Ave & 24th St NW,W21372,Registered
796620,3/31/2016 23:28,3/31/2016 23:41,31233,17th & K St NW / Farragut Square,31207,Georgia Ave and Fairmont St NW,W01137,Registered
3694307,3/31/2016 23:28,4/1/2016 0:30,31235,19th St & Constitution Ave NW,31279,19th & G St NW,W20240,Casual
881534,3/31/2016 23:27,3/31/2016 23:41,31104,Adams Mill & Columbia Rd NW,31313,Connecticut Ave & Tilden St NW,W01160,Registered
367713,3/31/2016 23:28,3/31/2016 23:34,31023,Fairfax Dr & Wilson Blvd,31035,N Quincy St & Glebe Rd,W00045,Registered
1228436,3/31/2016 23:26,3/31/2016 23:46,31200,Massachusetts Ave & Dupont Circle NW,31628,1st & K St SE,W21341,Registered
2515939,3/31/2016 23:26,4/1/2016 0:08,31265,5th St & Massachusetts Ave NW,31638,1st & H St NW,W00080,Registered
194577,3/31/2016 23:26,3/31/2016 23:29,31084,Ballenger Ave & Dulaney St,31098,King St Metro North / Cameron St,W21214,Registered
3790486,3/31/2016 23:26,4/1/2016 0:29,31235,19th St & Constitution Ave NW,31279,19th & G St NW,W01221,Casual
1012862,3/31/2016 23:26,3/31/2016 23:43,31277,17th & G St NW,31623,Columbus Circle / Union Station,W01062,Registered
3621785,3/31/2016 23:27,4/1/2016 0:27,31205,21st & I St NW,31257,22nd & I St NW / Foggy Bottom,W20323,Casual
1035159,3/31/2016 23:25,3/31/2016 23:42,31241,Thomas Circle,31401,14th St & Spring Rd NW,W21086,Registered
145413,3/31/2016 23:25,3/31/2016 23:27,31021,Clarendon Blvd & N Fillmore St,31089,Court House Metro / 15th & N Uhle St ,W21392,Registered
278950,3/31/2016 23:25,3/31/2016 23:30,31089,Court House Metro / 15th & N Uhle St ,31027,Key Blvd & N Quinn St,W20961,Registered
326538,3/31/2016 23:25,3/31/2016 23:31,31222,New York Ave & 15th St NW,31263,10th & K St NW,W21876,Registered
847466,3/31/2016 23:25,3/31/2016 23:39,31258,Lincoln Memorial,31266,11th & M St NW,W21222,Registered
761271,3/31/2016 23:24,3/31/2016 23:36,31117,15th & Euclid St  NW,31405,Georgia Ave & Emerson St NW,W21980,Registered
538637,3/31/2016 23:24,3/31/2016 23:33,31111,10th & U St NW,31214,17th & Corcoran St NW,W21034,Registered
3939264,3/31/2016 23:24,4/1/2016 0:30,31235,19th St & Constitution Ave NW,31279,19th & G St NW,W20161,Casual
533104,3/31/2016 23:24,3/31/2016 23:33,31111,10th & U St NW,31214,17th & Corcoran St NW,W21803,Registered
599707,3/31/2016 23:24,3/31/2016 23:34,31232,7th & F St NW / National Portrait Gallery,31108,4th & M St SW,W01474,Registered
339354,3/31/2016 23:24,3/31/2016 23:30,31221,18th & M St NW,31237,25th St & Pennsylvania Ave NW,W20751,Registered
4070218,3/31/2016 23:22,4/1/2016 0:30,31235,19th St & Constitution Ave NW,31279,19th & G St NW,W00505,Casual
524412,3/31/2016 23:21,3/31/2016 23:30,31122,16th & Irving St NW,31404,9th & Upshur St NW,W01235,Registered
194639,3/31/2016 23:21,3/31/2016 23:24,31238,14th & G St NW,31241,Thomas Circle,W21359,Registered
781145,3/31/2016 23:21,3/31/2016 23:34,31200,Massachusetts Ave & Dupont Circle NW,31636,New Jersey Ave & N St NW/Dunbar HS,W01201,Registered
483530,3/31/2016 23:20,3/31/2016 23:28,31109,7th & T St NW,31265,5th St & Massachusetts Ave NW,W20339,Registered
1079192,3/31/2016 23:20,3/31/2016 23:38,31232,7th & F St NW / National Portrait Gallery,31118,3rd & Elm St NW,W20989,Registered
1069124,3/31/2016 23:21,3/31/2016 23:38,31232,7th & F St NW / National Portrait Gallery,31118,3rd & Elm St NW,W21651,Registered
515873,3/31/2016 23:19,3/31/2016 23:28,31111,10th & U St NW,31603,1st & M St NE,W21992,Registered
766683,3/31/2016 23:19,3/31/2016 23:32,31263,10th & K St NW,31272,Washington & Independence Ave SW/HHS,W00209,Registered
1194712,3/31/2016 23:18,3/31/2016 23:38,31202,14th & R St NW,31611,13th & H St NE,W00193,Registered
191218,3/31/2016 23:18,3/31/2016 23:21,31631,8th & F St NE,31623,Columbus Circle / Union Station,W20445,Registered
1579063,3/31/2016 23:18,3/31/2016 23:44,31016,Clarendon Blvd & Pierce St,31079,Lee Hwy & N Cleveland St,W01197,Registered
160298,3/31/2016 23:18,3/31/2016 23:21,31260,23rd & E St NW ,31275,New Hampshire Ave & 24th St NW,W20818,Registered
217738,3/31/2016 23:18,3/31/2016 23:22,31236,37th & O St NW / Georgetown University,31312,Wisconsin Ave & O St NW,W21556,Registered
508598,3/31/2016 23:18,3/31/2016 23:27,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,31310,Connecticut & Nebraska Ave NW,W21154,Registered
